Your Estimate
Service Type,Components,Region,Component Price,Service Price
Amazon EC2 Service (EU (London)),,,,$6890.95
,Compute:,EU (London),$6345.75
,EBS Volumes:,EU (London),$545.2
,EBS IOPS:,EU (London),$0
AWS Support (Basic),,,,$0
,Support for all AWS services:,,$0
,,Free Tier Discount:,,$-3.48
,,Total Monthly Payment:,,$6887.47
